Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-07-31 00:00:00,Brazil,South Brazil,BR-S,78.64,115.96,86.32,85.93,ons.org.br
2022-08-01 00:00:00,Brazil,South Brazil,BR-S,62.97,97.76,89.05,88.84,ons.org.br
2022-08-02 00:00:00,Brazil,South Brazil,BR-S,51.37,84.08,91.07,90.96,ons.org.br
2022-08-03 00:00:00,Brazil,South Brazil,BR-S,47.61,79.25,91.72,91.66,ons.org.br; Electricity Maps Estimation
2022-08-04 00:00:00,Brazil,South Brazil,BR-S,43.39,74.07,92.45,92.43,ons.org.br; Electricity Maps Estimation
2022-08-05 00:00:00,Brazil,South Brazil,BR-S,40.86,71.15,92.89,92.89,ons.org.br
2022-08-06 00:00:00,Brazil,South Brazil,BR-S,56.08,89.50,90.25,89.96,ons.org.br
2022-08-07 00:00:00,Brazil,South Brazil,BR-S,75.06,111.06,86.95,86.49,ons.org.br
2022-08-08 00:00:00,Brazil,South Brazil,BR-S,56.38,89.49,90.19,90.14,ons.org.br
2022-08-09 00:00:00,Brazil,South Brazil,BR-S,52.53,84.76,90.86,90.86,ons.org.br
2022-08-10 00:00:00,Brazil,South Brazil,BR-S,53.87,86.65,90.63,90.63,ons.org.br
2022-08-11 00:00:00,Brazil,South Brazil,BR-S,53.48,86.61,90.70,90.70,ons.org.br
2022-08-12 00:00:00,Brazil,South Brazil,BR-S,60.15,93.71,89.54,89.31,ons.org.br
2022-08-13 00:00:00,Brazil,South Brazil,BR-S,75.83,112.37,86.81,86.49,ons.org.br
2022-08-14 00:00:00,Brazil,South Brazil,BR-S,84.17,122.05,85.36,84.99,ons.org.br
2022-08-15 00:00:00,Brazil,South Brazil,BR-S,60.50,93.93,89.48,89.35,ons.org.br
2022-08-16 00:00:00,Brazil,South Brazil,BR-S,55.79,89.01,90.30,90.27,ons.org.br
2022-08-17 00:00:00,Brazil,South Brazil,BR-S,51.53,83.75,91.04,91.04,ons.org.br; Electricity Maps Estimation
2022-08-18 00:00:00,Brazil,South Brazil,BR-S,53.83,86.19,90.64,90.64,ons.org.br
2022-08-19 00:00:00,Brazil,South Brazil,BR-S,50.70,82.87,91.18,91.18,ons.org.br
2022-08-20 00:00:00,Brazil,South Brazil,BR-S,73.82,110.36,87.16,87.15,ons.org.br; Electricity Maps Estimation
2022-08-21 00:00:00,Brazil,South Brazil,BR-S,88.38,127.50,84.63,84.44,ons.org.br
2022-08-22 00:00:00,Brazil,South Brazil,BR-S,73.93,110.66,87.14,86.97,ons.org.br; Electricity Maps Estimation
2022-08-23 00:00:00,Brazil,South Brazil,BR-S,65.95,100.78,88.53,88.53,ons.org.br; Electricity Maps Estimation
2022-08-24 00:00:00,Brazil,South Brazil,BR-S,68.94,104.58,88.01,87.95,ons.org.br
2022-08-25 00:00:00,Brazil,South Brazil,BR-S,68.51,104.24,88.09,88.04,ons.org.br
2022-08-26 00:00:00,Brazil,South Brazil,BR-S,64.53,99.44,88.78,88.77,ons.org.br
2022-08-27 00:00:00,Brazil,South Brazil,BR-S,58.84,92.31,89.77,89.77,ons.org.br
2022-08-28 00:00:00,Brazil,South Brazil,BR-S,51.03,82.39,91.12,90.86,ons.org.br
2022-08-29 00:00:00,Brazil,South Brazil,BR-S,33.67,63.04,94.14,94.13,ons.org.br; Electricity Maps Estimation
2022-08-30 00:00:00,Brazil,South Brazil,BR-S,34.10,63.52,94.07,94.00,ons.org.br
2022-08-31 00:00:00,Brazil,South Brazil,BR-S,38.02,67.51,93.39,93.29,ons.org.br
